"Alamat","Tanggal","Curah_Hujan_Harian_mm","Curah_Hujan_Kumulatif_24_Jam_mm","Curah_Hujan_Kumulatif_48_Jam_mm","Curah_Hujan_Kumulatif_72_Jam_mm","Lintang","Bujur","Elevasi_m","Potensi_Banjir_Prediksi"
"Alun Alun Aimas","2024-01-01","5.25","5.25","5.25","5.25","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-02","3.38","3.38","8.63","8.63","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-03","2.56","2.56","5.94","11.19","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-04","1.87","1.87","4.43","7.81","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-05","1.30","1.30","3.17","5.73","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-06","10.20","10.20","11.50","13.37","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-07","8.27","8.27","18.47","19.77","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-08","3.44","3.44","11.71","21.91","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-09","11.76","11.76","15.20","23.47","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-10","6.48","6.48","18.24","21.68","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-11","4.73","4.73","11.21","22.97","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-12","9.67","9.67","14.40","20.88","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-13","8.62","8.62","18.29","23.02","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-14","42.81","42.81","51.43","61.10","-0.96","131.34","8.00",3
"Alun Alun Aimas","2024-01-15","5.68","5.68","48.49","57.11","-0.96","131.34","8.00",2
"Alun Alun Aimas","2024-01-16","2.02","2.02","7.70","50.51","-0.96","131.34","8.00",2
"Alun Alun Aimas","2024-01-17","10.57","10.57","12.59","18.27","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-18","9.99","9.99","20.56","22.58","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-19","1.60","1.60","11.59","22.16","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-20","3.42","3.42","5.02","15.01","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-21","7.88","7.88","11.30","12.90","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-22","22.57","22.57","30.45","33.87","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-23","6.15","6.15","28.72","36.60","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-24","11.69","11.69","17.84","40.41","-0.96","131.34","8.00",2
"Alun Alun Aimas","2024-01-25","9.92","9.92","21.61","27.76","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-26","17.72","17.72","27.64","39.33","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-27","0.87","0.87","18.59","28.51","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-01-28","0.63","0.63","1.50","19.22","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-29","1.63","1.63","2.26","3.13","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-30","2.51","2.51","4.14","4.77","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-01-31","1.60","1.60","4.11","5.74","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-01","0.97","0.97","2.57","5.08","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-02","1.26","1.26","2.23","3.83","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-03","0.83","0.83","2.09","3.06","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-04","0.56","0.56","1.39","2.65","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-05","3.28","3.28","3.84","4.67","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-06","10.04","10.04","13.32","13.88","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-07","2.38","2.38","12.42","15.70","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-08","10.19","10.19","12.57","22.61","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-02-09","13.35","13.35","23.54","25.92","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-02-10","0.46","0.46","13.81","24.00","-0.96","131.34","8.00",1
"Alun Alun Aimas","2024-02-11","0.88","0.88","1.34","14.69","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-12","1.13","1.13","2.01","2.47","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-13","0.10","0.10","1.23","2.11","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-14","0.59","0.59","0.69","1.82","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-15","0.03","0.03","0.62","0.72","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-16","0.08","0.08","0.11","0.70","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-17","0.69","0.69","0.77","0.80","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-18","2.47","2.47","3.16","3.24","-0.96","131.34","8.00",0
"Alun Alun Aimas","2024-02-19","2.96","2.96","5.43","6.12","-0.96","131.34","8.00",0
